Id,Nome,Descriçao,Quantidade,Localização Casa,Foto,Tem Interesse
725,toalhas banheiro social,3 toalhas banheiro social,3,quarto vovo odete,NA,NA
726,toalha mesa jantar,toalha bordada mesa jantar,1,quarto vovo odete,NA,NA
727,toalhas mesa quadrada,5 toalhas vermelhas mesa quadrada,5,quarto vovo odete,NA,NA
728,toalha mesa jantar,toalha bordada florida mesa jantar,1,quarto vovo odete,NA,NA
729,forro mesa baralho,forro verde mesa redonda,1,quarto vovo odete,NA,NA
730,toalha mesa jantar,toalha furadinha branca mesa jantar,1,quarto vovo odete,NA,NA
731,toalha mesa jantar,toalha branca mesa jantar,1,quarto vovo odete,NA,NA
732,toalha mesa jantar,toalha branca indiana mesa jantar,1,quarto vovo odete,NA,NA
733,caminhos de mesa,7 caminhos de mesa,7,quarto vovo odete,NA,NA
734,toalha branca,toalha branca,1,quarto vovo odete,NA,NA
735,tapete banheiro,tapete banheiro rosa,1,quarto vovo odete,NA,NA
736,toalha mesa jantar,toalha mesa jantar crochê,1,quarto vovo odete,NA,NA
737,fronha travesseiro,4 fronhas travesseiro,4,quarto vovo odete,NA,NA
738,colchas,9 colchas (solteiro e casal),9,quarto vovo odete,NA,NA
739,guardanapos linho,8  guardanapos de linho,8,quarto vovo odete,NA,NA
740,colchas,2 colchas,2,quarto vovo odete,NA,NA
741,colcha,colcha crochê com forro dourado,1,quarto vovo odete,NA,NA
742,malas,2 malas com rodinha azul,2,quarto vovo odete,NA,NA
743,mala,mala com rodinha preta,1,quarto vovo odete,NA,NA
744,flor metal,flor de metal com pétalas avulsas,1,quarto vovo odete,NA,NA
745,ferramentas jardim,ferramentas jardim (exceto escada embalada em plástico azul),1,escada garagem,NA,NA
746,cadeiras,2 cadeiras de madeira conjunto,2,escada garagem,NA,NA
747,tampo mármore,2 tampos de mesa de mármore,2,escada garagem,NA,NA
748,cama solteiro,"2 camas solteiro, faltando a cabeira de 1 cama",2,escada garagem,NA,NA
749,hacker,hacker de madeira,1,escada garagem,NA,NA
750,engradados,2 engradados plástico,2,escada garagem,NA,NA
751,cama solteiro,cama solteiro de madeira,1,escada garagem,NA,NA
752,pé da mesa,pé de madeira da mesa de mármore,1,escada garagem,NA,NA
753,colchas,1 colcha florida solteiro e 1 colcha verde casal,1,quarto vovo odete,NA,NA
754,colcha,colcha crochê casal,1,quarto vovo odete,NA,NA
755,panelas alumínio,4 panelas alumínio,4,cozinha,NA,NA
756,caldeirão pequeno,2 caldeirões pequenos,2,cozinha,NA,NA
757,frigideiras,4 frigideiras de alumínio,4,cozinha,NA,NA
758,tampas,tampas de panelas,14,cozinha,NA,NA
759,panela pressão,panela de pressão,1,cozinha,NA,NA
760,chaleiras,2 chaleiras de alumínio com tampa,2,cozinha,NA,NA
761,panelas alumínio,4 panelas alumínio,4,cozinha,NA,NA
762,formas bolo,8 formas de bolo de alumínio,8,cozinha,NA,NA
763,panelas alumínio,3 panelas de alumínio,3,cozinha,NA,NA
764,escorredor alumínio,2 escorredores de alumínio,2,cozinha,NA,NA
765,panelas alumínio,3 panelas de alumínio,3,cozinha,NA,NA
766,caneca alumínio,4 canecas de alumínio,4,cozinha,NA,NA
